name ,sarcasm,body,humor,insult
TrainSen,0,Zumbawear is super excited to join the Twitter craze and will keep you updated on the latest fitness fashion!,0,0
TrainSen,1,05:35am & I've better gonna back 2 sleep now. Last half hour ago I had annoying dream about my ex. Why the hell I dream about guy I hate!?😡 #sarcasm,0,1
TrainSen,1,100% failed both physics exams great #sarcasm,1,0
TrainSen,1,100% gonna have to go out for tea tonight because I'll either burn the house down or give myself food poisoning if I make it myself 😕 #sarcasm,1,0
TrainSen,1,10/10 thanks for replying #not #sarcasm,1,1
TrainSen,1,102 out of 100 on an exam is a great thing to see #sarcasm,1,0
TrainSen,1,@1043TheFan CANT WAIT to hear you talk about the NFL problems. DYING to hear what you think about it! #not #sarcasm,1,0
TrainSen,1,105 degrees and a drought. I really don't know why I don't love SoCal 😂 #not #sarcasm,1,0
TrainSen,1,10 days until Grey's anatomy comes back on. I'm on season 3.. I think I can catch up in time hahah #not #sarcasm,1,0
TrainSen,1,10 hours of clinicals & I still didn't wanna leave today. I'm so ready to be working in the hospital doing what I love 😍 #sarcasm,1,0
TrainSen,1,11 days till I finally get to go to #ByronBay :)) #littlebrantleyabroad #cantwait #sarcasm,0,0
TrainSen,1,11 hour shift tomorrow on my day off... Love that #sarcasm,1,0
TrainSen,1,"11 months with this perfect guy 😻, happy we get through things and become a stronger relationship 🐻 @AdrianSnodgrass #sarcasm",0,0
TrainSen,1,11 pm : I think I might go to bed early tonight 3 am : lol #sarcasm,1,0
TrainSen,1,"120 seconds into The Fault Within Our Stars, shits going to be REAL uplifting. #not #why #badchoices #sarcasm",1,1
TrainSen,1,@12ewalton ahhhh have fun baby girl don't do too many drugs 333 #youraperfectchild #sarcasm,1,1
TrainSen,1,12 hour play rehearsals every day are so much fun 😅 #dying #sarcasm,1,0
TrainSen,1,"1/2 Received a text from a company I applied to a long time ago inviting me for an exam and initial interview. Wanted to make things sure, I #sarcasm",0,0
TrainSen,1,12 year old conversation : hey hey wats up nm wbu same cool so who do u like you oh ok do u like me yea lets date ok ily ily2 #sarcasm,1,1
TrainSen,1,"12 years of school and I'm still not sure if it's "" grey "" or "" gray "" #sarcasm",1,0
TrainSen,1,"13 hour day at school, I can finally sleep know since I got home about 1 and a half hour ago, good night #Exhausted #sarcasm",0,0
TrainSen,1,@14086thotties algebra got the best of me #sarcasm,0,0
TrainSen,1,15. 6 years in jail is a fair term & I'm glad he will now be used as a jailhouse bitch or pin cushion. I just feel sorry for the kids. #sarcasm,0,1
TrainSen,1,180 minute state exam is just what I wanna do today #not #sarcasm,1,0
TrainSen,1,@1886J but he's a gunner don't you know #sarcastictweet #sarcasm,1,0
TrainSen,1,@1996Sigel I miss you more.. I've been working so much.. I haven't had a day off since last Wednesday.. #sarcasm,0,0
TrainSen,1,1998: stop playing Pokemon and go outside 2016: Stop playing Pokemon and come inside #sarcasm,1,0
TrainSen,1,1% battery left and you run like a ninja to get your charger. #sarcasm,1,0
TrainSen,1,1 class cancelled. In my only other class I'm watching a movie. #SeniorYear #YeahRight #sarcasm,1,0
TrainSen,1,"1 class next week, 4 papers and presentations, one week, finals and done for a month! I cant wait #sarcasm",1,0
TrainSen,1,1D IS FIXING TO KILL ME 😍 THEY ARE GONNA PERFORM LOVE YOU GOODBYE ON ELLEN GOD MY FAVES AND MY FAVORITE SONG #sarcasm,0,0
TrainSen,1,1. Go to police station 2. Say a gang mugged you 3. Describe your own relatives to police sketch artist 4. Claim free family portrait #sarcasm,1,0
TrainSen,1,1 hour and 15 minute experiment after class 😊 #ILoveEcon #NOT #sarcasm,1,0
TrainSen,1,"1 hour nap turned into a 2 and a half hour nap... didn't get a legit amount of sleep last night, s/o to my body u know what's good 4 me lmao #sarcasm",1,0
TrainSen,1,1 in 5 bosses will let you leave work early if you claim to have 'lady problems ' then start crying. It works even better for guys! #sarcasm,1,1
TrainSen,1,@1Marii3 Such a nice thing to say! #NOT #sarcasm,1,1
TrainSen,1,@1SteveBurton Hey last tweet 4 a few days.. things getting busy. So be safe be careful be well have a great weekend ;-):-) enjoy family time. #sarcasm,0,0
